"","term","doi","page","author","title"
"292","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",16,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"293","accessib","itzchakov-reis-2020-perceived-responsiveness-increases-tolerance-of-attitude-ambivalence-and-enhances-intentions-to.pdf",17,"Guy Itzchakov and Ha...","Perceived Responsiveness Increases Toler..."
"294","accessib","jakubiak-feeney-2018-hand-in-hand-combat-affectionate-touch-promotes-relational-well-being-and-buffers-stress-during.pdf",2,"Brett K. Jakubiak an...","Hand-in-Hand Combat: Affectionate Touch ..."
"295","accessib","jampol-zayas-2020-gendered-white-lies-women-are-given-inflated-performance-feedback-compared-with-men.pdf",12,"Lily Jampol and Vivi...","Gendered White Lies: Women Are Given Inf..."
"296","Handicap","jampol-zayas-2020-gendered-white-lies-women-are-given-inflated-performance-feedback-compared-with-men.pdf",11,"Lily Jampol and Vivi...","Gendered White Lies: Women Are Given Inf..."
"297","accessib","jetten-et-al-2020-prosperous-but-fearful-of-falling-the-wealth-paradox-collective-angst-and-opposition-to-immigration.pdf",5,"Jolanda Jetten, Fran...","Prosperous But Fearful of Falling: The W..."
"298","accessib","jiang-et-al-2020-the-development-of-materialism-in-emerging-adulthood-stability-change-and-antecedents.pdf",10,"Wen Jiang, Hongyun L...","The Development of Materialism in Emergi..."
"299","accessib","job-et-al-2017-social-traces-of-generic-humans-increase-the-value-of-everyday-objects.pdf",8,"Veronika Job, Jana N...","Social Traces of Generic Humans Increase..."
"300","accessib","joel-et-al-2017-motivated-use-of-numerical-anchors-for-judgments-relevant-to-the-self.pdf",2,"Samantha Joel, Steph...","Motivated Use of Numerical Anchors for J..."
"301","accessib","joel-et-al-2017-motivated-use-of-numerical-anchors-for-judgments-relevant-to-the-self.pdf",3,"Samantha Joel, Steph...","Motivated Use of Numerical Anchors for J..."
"302","accessib","joel-et-al-2017-motivated-use-of-numerical-anchors-for-judgments-relevant-to-the-self.pdf",14,"Samantha Joel, Steph...","Motivated Use of Numerical Anchors for J..."
"303","deficien","johnson-et-al-2017-sage-on-the-stage-women-s-representation-at-an-academic-conference.pdf",12,"Camille S. Johnson, ...","Sage on the Stage"
"304","Dysfunction","johnson-et-al-2021-within-couple-associations-between-communication-and-relationship-satisfaction-over-time.pdf",2,"Matthew D. Johnson, ...","Within-Couple Associations Between Commu..."
"305","Defect","jun-et-al-2017-keeping-minorities-happy-hierarchy-maintenance-and-whites-decreased-support-for-highly-identified-white.pdf",14,"Sora Jun, Brian S. L...","Keeping Minorities Happy: Hierarchy Main..."
"306","Impairment","kang-lakshmanan-2018-narcissism-and-self-versus-recipient-oriented-imagery-in-charitable-giving.pdf",13,"Esther Kang and Arun...","Narcissism and Self- Versus Recipient-Or..."
"307","afflict","kang-lakshmanan-2018-narcissism-and-self-versus-recipient-oriented-imagery-in-charitable-giving.pdf",4,"Esther Kang and Arun...","Narcissism and Self- Versus Recipient-Or..."
"308","Ailment","kang-lakshmanan-2018-narcissism-and-self-versus-recipient-oriented-imagery-in-charitable-giving.pdf",1,"Esther Kang and Arun...","Narcissism and Self- Versus Recipient-Or..."
"309","Chronic illness","katzenelenbogen-et-al-2021-the-role-of-individual-and-dyadic-planning-in-couples-daily-goal-pursuits.pdf",15,"Ophir Katzenelenboge...","The Role of Individual and Dyadic Planni..."
"310","accessib","kettle-salerno-2017-anger-promotes-economic-conservatism.pdf",9,"Keri L. Kettle and A...","Anger Promotes Economic Conservatism"
"311","Dysfunction","kim-et-al-2020-when-tonight-is-not-the-night-sexual-rejection-behaviors-and-satisfaction-in-romantic-relationships.pdf",11,"James J. Kim, Amy Mu...","When Tonight Is Not the Night: Sexual Re..."
"312","Dysfunction","kim-et-al-2020-when-tonight-is-not-the-night-sexual-rejection-behaviors-and-satisfaction-in-romantic-relationships.pdf",15,"James J. Kim, Amy Mu...","When Tonight Is Not the Night: Sexual Re..."
"313","accessib","kim-et-al-2021-psychology-and-the-threat-of-contagion-feeling-vulnerable-to-a-disease-moderates-the-link-between.pdf",2,"Heejung S. Kim, Kimi...","Psychology and the Threat of Contagion: ..."
"314","accessib","kim-et-al-2021-psychology-and-the-threat-of-contagion-feeling-vulnerable-to-a-disease-moderates-the-link-between.pdf",3,"Heejung S. Kim, Kimi...","Psychology and the Threat of Contagion: ..."
"315","accessib","kim-et-al-2021-psychology-and-the-threat-of-contagion-feeling-vulnerable-to-a-disease-moderates-the-link-between.pdf",15,"Heejung S. Kim, Kimi...","Psychology and the Threat of Contagion: ..."
"316","accessib","kim-et-al-2021-psychology-and-the-threat-of-contagion-feeling-vulnerable-to-a-disease-moderates-the-link-between.pdf",17,"Heejung S. Kim, Kimi...","Psychology and the Threat of Contagion: ..."
"317","accessib","kim-et-al-2021-psychology-and-the-threat-of-contagion-feeling-vulnerable-to-a-disease-moderates-the-link-between.pdf",18,"Heejung S. Kim, Kimi...","Psychology and the Threat of Contagion: ..."
"318","Defect","kim-mcgill-2017-helping-others-by-first-affirming-the-self-when-self-affirmation-reduces-ego-defensive-downplaying-of.pdf",3,"Sara Kim and Ann L. ...","Helping Others by First Affirming the Se..."
"319","Defect","kim-mcgill-2017-helping-others-by-first-affirming-the-self-when-self-affirmation-reduces-ego-defensive-downplaying-of.pdf",4,"Sara Kim and Ann L. ...","Helping Others by First Affirming the Se..."
"320","Dysfunction","kim-wiesenfeld-2017-who-represents-our-group-the-effects-of-prototype-content-on-perceived-status-dispersion-and-social.pdf",2,"Hee Young Kim and Ba...","Who Represents Our Group? The Effects of..."
"321","Dysfunction","kim-wiesenfeld-2017-who-represents-our-group-the-effects-of-prototype-content-on-perceived-status-dispersion-and-social.pdf",11,"Hee Young Kim and Ba...","Who Represents Our Group? The Effects of..."
"322","accessib","kim-wiesenfeld-2017-who-represents-our-group-the-effects-of-prototype-content-on-perceived-status-dispersion-and-social.pdf",4,"Hee Young Kim and Ba...","Who Represents Our Group? The Effects of..."
"323","functional limitation","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",3,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"324","functional limitation","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",4,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"325","functional limitation","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",6,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"326","functional limitation","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",10,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"327","functional limitation","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",11,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"328","of daily living","kitayama-et-al-2018-behavioral-adjustment-moderates-the-link-between-neuroticism-and-biological-health-risk-a-u-s-japan.pdf",4,"Shinobu Kitayama, Ji...","Behavioral Adjustment Moderates the Link..."
"329","\bailing","kitayama-park-2020-is-conscientiousness-always-associated-with-better-health-a-u-s-japan-cross-cultural-examination-of.pdf",10,"Shinobu Kitayama and...","Is Conscientiousness Always Associated W..."
"330","disab","klebl-et-al-2021-beyond-aesthetic-judgment-beauty-increases-moral-standing-through-perceptions-of-purity.pdf",13,"Christoph Klebl, Yin...","Beyond Aesthetic Judgment: Beauty Increa..."
"331","disfigur","klebl-et-al-2021-beyond-aesthetic-judgment-beauty-increases-moral-standing-through-perceptions-of-purity.pdf",13,"Christoph Klebl, Yin...","Beyond Aesthetic Judgment: Beauty Increa..."
"332","Dysfunction","kluwer-et-al-2019-autonomy-in-relatedness-how-need-fulfillment-interacts-in-close-relationships.pdf",1,"Esther S. Kluwer, Jo...","Autonomy in Relatedness: How Need Fulfil..."
"333","Handicap","kluwer-et-al-2019-autonomy-in-relatedness-how-need-fulfillment-interacts-in-close-relationships.pdf",2,"Esther S. Kluwer, Jo...","Autonomy in Relatedness: How Need Fulfil..."
"334","Handicap","kluwer-et-al-2019-autonomy-in-relatedness-how-need-fulfillment-interacts-in-close-relationships.pdf",14,"Esther S. Kluwer, Jo...","Autonomy in Relatedness: How Need Fulfil..."
"335","accessib","koriat-et-al-2018-the-prototypical-majority-effect-under-social-influence.pdf",2,"Asher Koriat, Shiri ...","The Prototypical Majority Effect Under S..."
"336","accessib","koriat-et-al-2018-the-prototypical-majority-effect-under-social-influence.pdf",11,"Asher Koriat, Shiri ...","The Prototypical Majority Effect Under S..."
"337","accessib","koriat-et-al-2018-the-prototypical-majority-effect-under-social-influence.pdf",12,"Asher Koriat, Shiri ...","The Prototypical Majority Effect Under S..."
"338","deficien","korner-et-al-2020-using-the-cni-model-to-investigate-individual-differences-in-moral-dilemma-judgments.pdf",3,"Anita Körner, Roland...","Using the CNI Model to Investigate Indiv..."
"339","accessib","krol-et-al-2019-self-concept-clarity-and-the-bodily-self-malleability-across-modalities.pdf",2,"Sonia A. Krol, Rémi ...","Self-Concept Clarity and the Bodily Self..."
"340","disab","ksenofontov-becker-2019-the-harmful-side-of-thanks-thankful-responses-to-high-power-group-help-undermine-low-power.pdf",14,"Inna Ksenofontov and...","The Harmful Side of Thanks: Thankful Res..."
"341","accessib","ksenofontov-becker-2019-the-harmful-side-of-thanks-thankful-responses-to-high-power-group-help-undermine-low-power.pdf",12,"Inna Ksenofontov and...","The Harmful Side of Thanks: Thankful Res..."
"342","Defect","ksenofontov-becker-2019-the-harmful-side-of-thanks-thankful-responses-to-high-power-group-help-undermine-low-power.pdf",2,"Inna Ksenofontov and...","The Harmful Side of Thanks: Thankful Res..."
"343","accessib","kuijpers-et-al-2021-do-you-feel-better-when-you-behave-more-extraverted-than-you-are-the-relationship-between.pdf",18,"E. Kuijpers, J. Pick...","Do You Feel Better When You Behave More ..."
"344","Defect","kunst-et-al-2021-knowledge-about-individuals-interracial-friendships-is-systematically-associated-with-mental.pdf",2,"Jonas R. Kunst, Ivuo...","Knowledge About Individuals Interracial..."
"345","disab","lam-zhou-2021-an-examination-of-the-conceptual-structure-of-long-term-goal-striving.pdf",3,"Kelly Ka Lai Lam and...","An Examination of the Conceptual Structu..."
"346","disab","lam-zhou-2021-an-examination-of-the-conceptual-structure-of-long-term-goal-striving.pdf",14,"Kelly Ka Lai Lam and...","An Examination of the Conceptual Structu..."
"347","frail","lam-zhou-2021-an-examination-of-the-conceptual-structure-of-long-term-goal-striving.pdf",12,"Kelly Ka Lai Lam and...","An Examination of the Conceptual Structu..."
"348","frail","lam-zhou-2021-an-examination-of-the-conceptual-structure-of-long-term-goal-striving.pdf",16,"Kelly Ka Lai Lam and...","An Examination of the Conceptual Structu..."
"349","accessib","lammers-et-al-2021-why-people-hate-congress-but-love-their-own-congressperson-an-information-processing-explanation.pdf",2,"Joris Lammers, Eilee...","Why People Hate Congress but Love Their ..."
"350","accessib","lammers-et-al-2021-why-people-hate-congress-but-love-their-own-congressperson-an-information-processing-explanation.pdf",14,"Joris Lammers, Eilee...","Why People Hate Congress but Love Their ..."
"351","Malaise","lammers-et-al-2021-why-people-hate-congress-but-love-their-own-congressperson-an-information-processing-explanation.pdf",13,"Joris Lammers, Eilee...","Why People Hate Congress but Love Their ..."
"352","Dysfunction","lange-et-al-2017-elucidating-the-dark-side-of-envy-distinctive-links-of-benign-and-malicious-envy-with-dark.pdf",11,"Jens Lange, Delroy L...","Elucidating the Dark Side of Envy: Disti..."
"353","deficien","lange-et-al-2017-elucidating-the-dark-side-of-envy-distinctive-links-of-benign-and-malicious-envy-with-dark.pdf",11,"Jens Lange, Delroy L...","Elucidating the Dark Side of Envy: Disti..."
"354","disab","law-et-al-2021-biased-benevolence-the-perceived-morality-of-effective-altruism-across-social-distance.pdf",17,"Kyle Fiore Law, Dyla...","Biased Benevolence: The Perceived Morali..."
"355","accessib","leckelt-et-al-2019-a-longitudinal-field-investigation-of-narcissism-and-popularity-over-time-how-agentic-and.pdf",9,"Marius Leckelt, Kath...","A Longitudinal Field Investigation of Na..."
"356","Impairment","lee-et-al-2017-i-through-we-how-supportive-social-relationships-facilitate-personal-growth.pdf",6,"David S. Lee, Oscar ...","I-Through-We: How Supportive Social Rela..."
"357","accessib","lee-et-al-2017-i-through-we-how-supportive-social-relationships-facilitate-personal-growth.pdf",9,"David S. Lee, Oscar ...","I-Through-We: How Supportive Social Rela..."
"358","disab","legate-et-al-2017-daily-autonomy-support-and-sexual-identity-disclosure-predicts-daily-mental-and-physical-health.pdf",1,"Nicole Legate, Richa...","Daily Autonomy Support and Sexual Identi..."
"359","Dysfunction","leong-et-al-2019-is-gratitude-always-beneficial-to-interpersonal-relationships-the-interplay-of-grateful-disposition.pdf",12,"Joyce L. T. Leong, S...","Is Gratitude Always Beneficial to Interp..."
"360","accessib","leong-et-al-2019-is-gratitude-always-beneficial-to-interpersonal-relationships-the-interplay-of-grateful-disposition.pdf",2,"Joyce L. T. Leong, S...","Is Gratitude Always Beneficial to Interp..."
"361","accessib","li-edwards-2020-the-relationship-between-system-justification-and-perspective-taking-and-empathy.pdf",11,"Zheng Li and John A....","The Relationship Between System Justific..."
"362","accessib","li-et-al-2019-stepping-into-perpetrators-shoes-how-ingroup-transgressions-and-victimization-shape-support-for.pdf",15,"Mengyao Li, Bernhard...","Stepping into Perpetrators Shoes: How I..."
"363","Deform","li-et-al-2021-the-neural-basis-linking-achievement-motivation-with-procrastination-left-precuneus-connectivity-with.pdf",3,"Yuhua Li, Libin Zhan...","The Neural Basis Linking Achievement Mot..."
"364","deficien","li-rao-2019-do-people-believe-that-they-are-more-deontological-than-others.pdf",3,"Ming-Hui Li and Li-L...","Do People Believe That They Are More Deo..."
"365","deficien","li-rao-2019-do-people-believe-that-they-are-more-deontological-than-others.pdf",10,"Ming-Hui Li and Li-L...","Do People Believe That They Are More Deo..."
"366","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",2,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"367","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",4,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"368","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",5,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"369","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",8,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"370","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",13,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"371","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",14,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"372","accessib","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",15,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"373","Handicap","lifshin-et-al-2017-the-evil-animal-a-terror-management-theory-perspective-on-the-human-tendency-to-kill-animals.pdf",15,"Uri Lifshin, Jeff Gr...","The Evil Animal: A Terror Management The..."
"374","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",1,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"375","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",2,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"376","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",4,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"377","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",6,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"378","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",10,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"379","accessib","light-et-al-2017-self-uncertainty-and-the-influence-of-alternative-goals-on-self-regulation.pdf",13,"Alysson E. Light, Ki...","Self-Uncertainty and the Influence of Al..."
"380","accessib","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",1,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"381","accessib","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",2,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"382","accessib","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",3,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"383","accessib","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",14,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"384","accessib","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",15,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"385","Syndrome","lin-oyserman-2020-upright-and-honorable-people-use-space-to-understand-honor-affecting-choice-and-perception.pdf",16,"Ying Lin and Daphna ...","Upright and Honorable: People Use Space ..."
"386","Dysfunction","liu-et-al-2018-effects-of-cultural-tightness-looseness-and-social-network-density-on-expression-of-positive-and.pdf",14,"Pan Liu, David Chan,...","Effects of Cultural TightnessLooseness ..."
"387","Syndrome","liu-et-al-2018-effects-of-cultural-tightness-looseness-and-social-network-density-on-expression-of-positive-and.pdf",15,"Pan Liu, David Chan,...","Effects of Cultural TightnessLooseness ..."
"388","Dysfunction","locke-et-al-2017-cross-situational-self-consistency-in-nine-cultures-the-importance-of-separating-influences-of-social.pdf",16,"Kenneth D. Locke, A....","Cross-Situational Self-Consistency in Ni..."
"389","accessib","lu-wan-2018-cultural-self-awareness-as-awareness-of-culture-s-influence-on-the-self-implications-for-cultural.pdf",10,"Chieh Lu and Ching W...","Cultural Self-Awareness as Awareness of ..."
"390","deficien","luke-gawronski-2021-political-ideology-and-moral-dilemma-judgments-an-analysis-using-the-cni-model.pdf",5,"Dillon M. Luke and B...","Political Ideology and Moral Dilemma Jud..."
"391","accessib","luttrell-togans-2020-the-stability-of-moralized-attitudes-over-time.pdf",13,"Andrew Luttrell and ...","The Stability of Moralized Attitudes Ove..."
"392","accessib","machia-proulx-2019-the-diverging-effects-of-need-fulfillment-obtained-from-within-and-outside-of-a-romantic-relationship.pdf",12,"Laura V. Machia and ...","The Diverging Effects of Need Fulfillmen..."
"393","accessib","maher-et-al-2019-lost-in-multidimensional-space-epistemic-motivations-define-and-distinguish-negative-affect.pdf",16,"Paul J. Maher, Wijna...","Lost in Multidimensional Space: Epistemi..."
"394","accessib","major-et-al-2018-well-being-correlates-of-perceived-positivity-resonance-evidence-from-trait-and-episode-level.pdf",17,"Brett C. Major, Khoa...","Well-Being Correlates of Perceived Posit..."
"395","Chronic illness","major-et-al-2018-well-being-correlates-of-perceived-positivity-resonance-evidence-from-trait-and-episode-level.pdf",3,"Brett C. Major, Khoa...","Well-Being Correlates of Perceived Posit..."
"396","disfigur","major-et-al-2020-the-countervailing-effects-of-weight-stigma-on-weight-loss-motivation-and-perceived-capacity-for.pdf",2,"Brenda Major, Joanne...","The Countervailing Effects of Weight Sti..."
"397","accessib","mancini-et-al-2021-outside-the-eye-of-the-storm-can-moderate-hurricane-exposure-improve-social-psychological-and.pdf",2,"Anthony D. Mancini, ...","Outside the Eye of the Storm: Can Modera..."
"398","accessib","mancini-et-al-2021-outside-the-eye-of-the-storm-can-moderate-hurricane-exposure-improve-social-psychological-and.pdf",12,"Anthony D. Mancini, ...","Outside the Eye of the Storm: Can Modera..."
"399","accessib","march-et-al-2017-in-harm-s-way-on-preferential-response-to-threatening-stimuli.pdf",11,"David S. March, Lowe...","In Harms Way: On Preferential Response ..."
"400","disab","martin-et-al-2018-intersectional-escape-older-women-elude-agentic-prescriptions-more-than-older-men.pdf",17,"Ashley E. Martin, Mi...","Intersectional Escape: Older Women Elude..."
"401","sickl","martin-et-al-2018-intersectional-escape-older-women-elude-agentic-prescriptions-more-than-older-men.pdf",16,"Ashley E. Martin, Mi...","Intersectional Escape: Older Women Elude..."
"402","accessib","martin-slepian-2018-dehumanizing-gender-the-debiasing-effects-of-gendering-human-abstracted-entities.pdf",2,"Ashley E. Martin and...","Dehumanizing Gender: The Debiasing Effec..."
"403","Malaise","mashuri-van-leeuwen-2017-predicting-support-for-reconciliation-in-separatist-conflict.pdf",12,"Ali Mashuri and Esth...","Predicting Support for Reconciliation in..."
"404","Impairment","mcgarrity-et-al-2019-minority-stress-emotion-regulation-and-executive-function-an-experimental-investigation-of-gay-and.pdf",3,"Larissa A. McGarrity...","Minority Stress, Emotion Regulation, and..."
"405","accessib","mclamore-et-al-2019-challenges-to-traditional-narratives-of-intractable-conflict-decrease-ingroup-glorification.pdf",2,"Quinnehtukqut McLamo...","Challenges to Traditional Narratives of ..."
"406","\blame","meltzer-2019-women-can-benefit-from-sexual-and-physical-valuation-in-the-context-of-a-romantic-relationship.pdf",12,"Andrea L. Meltzer","Women Can Benefit From Sexual and Physic..."
"407","\blame","meltzer-2019-women-can-benefit-from-sexual-and-physical-valuation-in-the-context-of-a-romantic-relationship.pdf",13,"Andrea L. Meltzer","Women Can Benefit From Sexual and Physic..."
"408","\blame","meltzer-2019-women-can-benefit-from-sexual-and-physical-valuation-in-the-context-of-a-romantic-relationship.pdf",14,"Andrea L. Meltzer","Women Can Benefit From Sexual and Physic..."
"409","accessib","moran-et-al-2020-can-instructions-about-stimulus-pairings-influence-automatic-and-self-reported-evaluations-in-the.pdf",14,"Tal Moran, Pieter Va...","Can (Instructions About) Stimulus Pairin..."
"410","accessib","motsenok-et-al-2021-perceived-physical-vulnerability-promotes-prosocial-behavior.pdf",2,"Marina Motsenok, Teh...","Perceived Physical Vulnerability Promote..."
"411","Ailment","murphy-et-al-2019-the-consideration-of-future-consequences-evidence-for-domain-specificity-across-five-life-domains.pdf",4,"Lisa Murphy, Eimer C...","The Consideration of Future Consequences..."
"412","accessib","napier-et-al-2018-construing-the-essence-the-effects-of-construal-level-on-genetic-attributions-for-individual-and.pdf",2,"Jaime L. Napier, Jam...","Construing the Essence: The Effects of C..."
"413","afflict","napier-et-al-2018-construing-the-essence-the-effects-of-construal-level-on-genetic-attributions-for-individual-and.pdf",11,"Jaime L. Napier, Jam...","Construing the Essence: The Effects of C..."
"414","accessib","newman-et-al-2018-name-norms-a-guide-to-casting-your-next-experiment.pdf",14,"Leonard S. Newman, M...","Name Norms: A Guide to Casting Your Next..."
"415","Impairment","newman-et-al-2021-contrasting-effects-of-finding-meaning-and-searching-for-meaning-and-political-orientation-and.pdf",12,"David B. Newman, Ste...","Contrasting Effects of Finding Meaning a..."
"416","accessib","newman-et-al-2021-contrasting-effects-of-finding-meaning-and-searching-for-meaning-and-political-orientation-and.pdf",2,"David B. Newman, Ste...","Contrasting Effects of Finding Meaning a..."
"417","accessib","nguyen-et-al-2017-solitude-as-an-approach-to-affective-self-regulation.pdf",9,"Thuy-vy T. Nguyen, R...","Solitude as an Approach to Affective Sel..."
"418","disab","o-brien-smith-2018-unconventional-consumption-methods-and-enjoying-things-consumed-recapturing-the-first-time-experience.pdf",7,"Ed OBrien and Rober...","Unconventional Consumption Methods and E..."
"419","\blame","o-brien-smith-2018-unconventional-consumption-methods-and-enjoying-things-consumed-recapturing-the-first-time-experience.pdf",1,"Ed OBrien and Rober...","Unconventional Consumption Methods and E..."
"420","Defect","obeid-et-al-2017-how-moral-perceptions-influence-intergroup-tolerance-evidence-from-lebanon-morocco-and-the-united.pdf",11,"Nadine Obeid, Nichol...","How Moral Perceptions Influence Intergro..."
"421","Handicap","oosterhoff-et-al-2017-differential-and-domain-specific-associations-among-right-wing-authoritarianism-social-dominance.pdf",2,"Benjamin Oosterhoff,...","Differential and Domain-Specific Associa..."
"422","accessib","orehek-et-al-2017-attachment-and-self-regulation.pdf",3,"Edward Orehek, Anna ...","Attachment and Self-Regulation"
"423","accessib","orehek-et-al-2017-attachment-and-self-regulation.pdf",15,"Edward Orehek, Anna ...","Attachment and Self-Regulation"
"424","Impairment","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",2,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"425","Impairment","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",11,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"426","Impairment","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",12,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"427","Impairment","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",14,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"428","Handicap","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",2,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"429","Handicap","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",14,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"430","Handicap","orehek-et-al-2019-self-expression-while-drinking-alcohol-alcohol-influences-personality-expression-during-first.pdf",15,"Edward Orehek, Laure...","Self-Expression While Drinking Alcohol: ..."
"431","Syndrome","orehek-human-2016-self-expression-on-social-media-do-tweets-present-accurate-and-positive-portraits-of-impulsivity-self.pdf",10,"Edward Orehek and La...","Self-Expression on Social Media"
"432","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",1,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"433","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",2,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"434","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",3,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"435","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",5,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"436","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",8,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"437","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",13,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
"438","disab","pachankis-et-al-2017-the-burden-of-stigma-on-health-and-well-being-a-taxonomy-of-concealment-course-disruptiveness.pdf",22,"John E. Pachankis, M...","The Burden of Stigma on Health and Well-..."
