"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"686",686,"10.1177/01461672221103058","Deontology and utilitarianism in real life: A set of moral dilemmas based on historic events","deontology and utilitarianism in real life a set o",5,"A Körner, R Deutsch",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221103058","https://scholar.google.com/scholar?cites=14891630957532923566&as_sdt=2005&sciodt=0,5&hl=en",89,FALSE,NA,5,5,3,2,1,"Moral dilemmas are frequently used to examine psychological processes that drive decisions between adhering to deontological norms and optimizing the outcome. However …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221103058","https://scholar.google.com/scholar?q=related:rsb15XSzqc4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"687",687,"10.1177/01461672221103414","The measurement of racial colorblindness","the measurement of racial colorblindness",11,"BE Whitley Jr, A Luttrell…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221103414","https://scholar.google.com/scholar?cites=6197371648200625858&as_sdt=2005&sciodt=0,5&hl=en",29,FALSE,NA,11,11,4,3,1,"Although there is consensus that the intergroup ideology of multiculturalism is negatively related to prejudice and that assimilation is positively related to prejudice, research …","http://lab.andyluttrell.com/wp-content/uploads/2022/07/In-Press-Whitley-Luttrell-Schultz-The-Measurement-of-Racial-Colorblindness.pdf","https://scholar.google.com/scholar?q=related:wk4T0K18AVYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"688",688,"10.1177/01461672221104927","Speak up! Mistaken beliefs about how much to talk in conversations","speak up mistaken beliefs about how much to talk i",6,"Q Hirschi, TD Wilson, DT Gilbert",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221104927","https://scholar.google.com/scholar?cites=7750789207580771126&as_sdt=2005&sciodt=0,5&hl=en",38,FALSE,NA,6,6,2,3,1,"We hypothesized that people would exhibit a reticence bias, the incorrect belief that they will be more likable if they speak less than half the time in a conversation with a stranger, as well …","https://dtg.sites.fas.harvard.edu/HIRSCHI%20WILSON%20GILBERT%202022.pdf","https://scholar.google.com/scholar?q=related:NoPIBrhVkGsJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"689",689,"10.1177/01461672221105958","The Effect of Counterfactual Potency on Behavioral Intentions","the effect of counterfactual potency on behavioral",1,"WJ Kim, A Summerville",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221105958","https://scholar.google.com/scholar?cites=10885621758921396740&as_sdt=2005&sciodt=0,5&hl=en",163,FALSE,NA,1,1,1,2,1,"This research examines how counterfactual potency (CP), the multiplicative effect of the likelihoods of the “if” and “then” clauses of counterfactuals, determines the effects of …","https://www.researchgate.net/profile/Woo-Kim-8/publication/361938595_The_Effect_of_Counterfactual_Potency_on_Behavioral_Intentions/links/63242560071ea12e36389cbe/The-Effect-of-Counterfactual-Potency-on-Behavioral-Intentions.pdf","https://scholar.google.com/scholar?q=related:BNLFs1B_EZcJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"690",690,"10.1177/01461672221107205","Do agency and communion explain the relationship between perceiver and target effects in interpersonal perception? A meta-analysis on generalized reciprocity","do agency and communion explain the relationship b",2,"T Schauf, M Dufner, S Nestler…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221107205","https://scholar.google.com/scholar?cites=9027757091711931401&as_sdt=2005&sciodt=0,5&hl=en",154,FALSE,NA,2,2,1,4,1,"This meta-analysis examines generalized reciprocity, that is, the relationship between how people perceive others and how they are perceived by others. It tests the hypothesis that …","https://psyarxiv.com/qzb3a/download?format=pdf","https://scholar.google.com/scholar?q=related:CdQAaj4JSX0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"691",691,"10.1177/01461672221107209","How rice fights pandemics: Nature–crop–human interactions shaped COVID-19 outcomes","how rice fights pandemics naturecrophuman interact",14,"T Talhelm, CS Lee, AS English…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221107209","https://scholar.google.com/scholar?cites=6744967932311841725&as_sdt=2005&sciodt=0,5&hl=en",4,FALSE,NA,14,14,4,4,1,"Wealthy nations led health preparedness rankings in 2019, yet many poor nations controlled COVID-19 better. We argue that a history of rice farming explains why some societies did …","https://www.zbw.eu/econis-archiv/bitstream/11159/527608/1/EBP089916646_0.pdf","https://scholar.google.com/scholar?q=related:vSvZGpnwml0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"692",692,"10.1177/01461672221109664","Low self-concept clarity inhibits self-control: The mediating effect of global self-continuity","low selfconcept clarity inhibits selfcontrol the m",8,"T Jiang, T Wang, KT Poon, W Gaer…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221109664","https://scholar.google.com/scholar?cites=14266791015216651651&as_sdt=2005&sciodt=0,5&hl=en",55,FALSE,NA,8,8,2,5,1,"Whether and how self-concept clarity (SCC) affects self-control has not been sufficiently explored in empirical research. We proposed that low SCC inhibits self-control through a …","https://www.researchgate.net/profile/Tonglin-Jiang-2/publication/362138396_Low_Self-Concept_Clarity_Inhibits_Self-Control_The_Mediating_Effect_of_Global_Self-Continuity/links/64dee6ce1351f5785b70de87/Low-Self-Concept-Clarity-Inhibits-Self-Control-The-Mediating-Effect-of-Global-Self-Continuity.pdf","https://scholar.google.com/scholar?q=related:gx258tbS_cUJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"693",693,"10.1177/01461672221113670","Lifting Me Up or Tearing You Down? The Role of Prestige and Dominance in Benign Versus Malicious Envy","lifting me up or tearing you down the role of pres",0,"CR Hasty, SE Ainsworth, JL Martinez…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221113670",NA,153,FALSE,NA,0,0,0,4,1,"Dominance and prestige are two strategies people use to regulate their social rank within group hierarchies. Despite a growing literature on dominance-and prestige-oriented …","https://diginole.lib.fsu.edu/islandora/object/fsu:770853/datastream/PDF/view","https://scholar.google.com/scholar?q=related:o-O9N6KyDBAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"694",694,"10.1177/01461672221113981","Closeness discrepancies in couple relationships: A dyadic response surface analysis","closeness discrepancies in couple relationships a ",1,"S Pusch, FJ Neyer…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221113981","https://scholar.google.com/scholar?cites=12127499407464365380&as_sdt=2005&sciodt=0,5&hl=en",84,FALSE,NA,1,1,0,3,1,"Individuals can differ in the degree of closeness they desire in their romantic relationships: Some people may perceive their current level of closeness as just right, whereas others may …",NA,"https://scholar.google.com/scholar?q=related:RH2s83SITagJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"695",695,"10.1177/01461672221114222","Rumors in retweet: Ideological asymmetry in the failure to correct misinformation","rumors in retweet ideological asymmetry in the fai",5,"MR DeVerna, AM Guess, AJ Berinsky…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221114222","https://scholar.google.com/scholar?cites=14179904903149372166&as_sdt=2005&sciodt=0,5&hl=en",26,FALSE,NA,5,5,1,4,1,"We used supervised machine-learning techniques to examine ideological asymmetries in online rumor transmission. Although liberals were more likely than conservatives to …","https://www.matthewdeverna.com/docs/publications/2022_DeVerna_Rumors/2022_DeVerna_Rumors.pdf","https://scholar.google.com/scholar?q=related:BsMJjWEkycQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"696",696,"10.1177/01461672221115218","Lordosis in humans","lordosis in humans",5,"AY Semchenko, Z Senveli…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221115218","https://scholar.google.com/scholar?cites=8103557379344256283&as_sdt=2005&sciodt=0,5&hl=en",16,FALSE,NA,5,5,2,3,1,"Despite progress in attractiveness research, we have yet to identify many fitness-relevant cues in the human phenotype or humans' psychology for responding to them. Here, we test …","https://labs.la.utexas.edu/buss/files/2022/12/Lordosis-in-Humans-2022.pdf","https://scholar.google.com/scholar?q=related:G03PhICedXAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"697",697,"10.1177/01461672221115558","Social-judgment comparisons in daily life","socialjudgment comparisons in daily life",1,"S Thai, P Lockwood",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221115558","https://scholar.google.com/scholar?cites=3582369170888766035&as_sdt=2005&sciodt=0,5&hl=en",95,FALSE,NA,1,1,1,2,1,"Comparison processes are critical to social judgments, yet little is known about how individuals compare people other than themselves in daily life (social-judgment …","https://www.researchgate.net/profile/Sabrina-Thai/publication/363232716_Social-Judgment_Comparisons_in_Daily_Life/links/6422fe1392cfd54f8435563f/Social-Judgment-Comparisons-in-Daily-Life.pdf","https://scholar.google.com/scholar?q=related:U7Ii3cchtzEJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"698",698,"10.1177/01461672221115941","Definitions of solitude in everyday life","definitions of solitude in everyday life",7,"N Weinstein, H Hansen…",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221115941","https://scholar.google.com/scholar?cites=12567780207352809156&as_sdt=2005&sciodt=0,5&hl=en",73,FALSE,NA,7,7,2,3,1,"What does it mean to be in solitude? Researchers building this nascent field are learning much about the potential affordances of solitude, but lack an agreed-upon definition or set of …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221115941","https://scholar.google.com/scholar?q=related:xAZz-oK5aa4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"699",699,"10.1177/01461672221115943","High-Quality Contact With Fellow Majority Group Students Is Associated With Better Academic Performance of Minority Group Students","highquality contact with fellow majority group stu",2,"R Kahalon, N Shnabel, K Sharvit…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221115943","https://scholar.google.com/scholar?cites=3335806375907278113&as_sdt=2005&sciodt=0,5&hl=en",54,FALSE,NA,2,2,1,4,1,"We examined the association between intergroup contact and academic performance at university among minority students in a context with a segregated pre-university school …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221115943","https://scholar.google.com/scholar?q=related:Ib1vmzkqSy4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"700",700,"10.1177/01461672221117690","Insecure attachment orientation in adults and children and negative attribution bias: A meta-analysis","insecure attachment orientation in adults and chil",3,"D Li, KB Carnelley, AC Rowe",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221117690","https://scholar.google.com/scholar?cites=11461830670732680574&as_sdt=2005&sciodt=0,5&hl=en",46,FALSE,NA,3,3,1,3,1,"This is the first meta-analysis to synthesize the literature on insecure attachment and negative attribution bias (NAB) from both developmental and social/personality attachment …","https://www.researchgate.net/profile/Danyang_Li27/publication/362790238_Insecure_attachment_orientation_in_adults_and_children_and_negative_attribution_bias_A_meta-analysis/links/6331ccfc86b22d3db4e53823/Insecure-Attachment-Orientation-in-Adults-and-Children-and-Negative-Attribution-Bias-A-Meta-Analysis.pdf","https://scholar.google.com/scholar?q=related:ft2yhESaEJ8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"701",701,"10.1177/01461672221117691","“I think this news is accurate”: Endorsing accuracy decreases the sharing of fake news and increases the sharing of real news","i think this news is accurate endorsing accuracy d",13,"V Capraro, T Celadin",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221117691","https://scholar.google.com/scholar?cites=498868652235121588&as_sdt=2005&sciodt=0,5&hl=en",5,FALSE,NA,13,13,7,2,1,"Accuracy prompts, nudges that make accuracy salient, typically decrease the sharing of fake news, while having little effect on real news. Here, we introduce a new accuracy prompt that …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221117691","https://scholar.google.com/scholar?q=related:tGMNZmVW7AYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"702",702,"10.1177/01461672221118184","Psychological distance to science as a predictor of science skepticism across domains","psychological distance to science as a predictor o",9,"B Većkalov, N Zarzeczna, J McPhetres…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221118184","https://scholar.google.com/scholar?cites=9894912097340137976&as_sdt=2005&sciodt=0,5&hl=en",33,FALSE,NA,9,9,2,4,1,"This article presents and tests psychological distance to science (PSYDISC) as a domain-general predictor of science skepticism. Drawing on the concept of psychological distance …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221118184","https://scholar.google.com/scholar?q=related:-KGshSDKUYkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"703",703,"10.1177/01461672221118187","Authentic for Thee But Not for Me: Perceived Authenticity in Self-Control Conflicts","authentic for thee but not for me perceived authen",1,"KE Garrison, GN Rivera, RJ Schlegel…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221118187","https://scholar.google.com/scholar?cites=8207785796377843933&as_sdt=2005&sciodt=0,5&hl=en",130,FALSE,NA,1,1,0,4,1,"Is self-control authentic? Across several hypothetical scenarios, participants perceived impulsive actions as more authentic for others (Study 1a) but self-control as more authentic …",NA,"https://scholar.google.com/scholar?q=related:3RiZ8bHp53EJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"704",704,"10.1177/01461672221119356","I'm still spending: Financial contingency of self-worth predicts financial motivational conflict and compulsive buying","im still spending financial contingency of selfwor",1,"L Park, DE Ward, K Naragon-Gainey…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221119356","https://scholar.google.com/scholar?cites=8218584882023834206&as_sdt=2005&sciodt=0,5&hl=en",75,FALSE,NA,1,1,0,4,1,"People with financially contingent self-worth (FCSW) base their self-esteem on money and feel pressured to achieve financial success. However, the present research suggests such …","https://ubwp.buffalo.edu/selfandmotivationlab/wp-content/uploads/sites/91/2022/11/Park-et-al.-2022-PSPB.pdf","https://scholar.google.com/scholar?q=related:XiJtAWhHDnIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"705",705,"10.1177/01461672221120493","Correlated Change Between Personality Traits and Perceived Social Support in Old Age","correlated change between personality traits and p",1,"GN Pfund, M Allemand",2022,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221120493","https://scholar.google.com/scholar?cites=9791778429770626399&as_sdt=2005&sciodt=0,5&hl=en",126,FALSE,NA,1,1,1,2,1,"This study investigated correlated change between the Big Five personality traits and perceived social support in old age. Two data waves with an 8-year span from the …","https://drive.google.com/file/d/1n1gNU1_bgkG2szh9Emq1XqAXwI78YKg5/view","https://scholar.google.com/scholar?q=related:X3XPUZpi44cJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"706",706,"10.1177/01461672221120612","Examining beliefs about the benefits of self-affirmation for mitigating self-threat","examining beliefs about the benefits of selfaffirm",1,"SL Reeves, T Nguyen, AA Scholer…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221120612","https://scholar.google.com/scholar?cites=10973949001219649394&as_sdt=2005&sciodt=0,5&hl=en",82,FALSE,NA,1,1,0,4,1,"Self-affirmation—reflecting on a source of global self-integrity outside of the threatened domain—can mitigate self-threat in education, health, relationships, and more. Whether …","https://u.osu.edu/fujita/files/2022/12/Reeves-et-al-in-press.pdf","https://scholar.google.com/scholar?q=related:ci_zYHlMS5gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"707",707,"10.1177/01461672221120703","Self-Awareness and Stereotypes: Accurate Prediction of Implicit Gender Stereotyping","selfawareness and stereotypes accurate prediction ",3,"Z Rahmani Azad, A Goedderz…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221120703","https://scholar.google.com/scholar?cites=16319247629709624612&as_sdt=2005&sciodt=0,5&hl=en",36,FALSE,NA,3,3,1,3,1,"Research showing that people can predict the patterns of their implicit evaluations toward social groups has raised questions concerning how widely these findings extend to other …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221120703","https://scholar.google.com/scholar?q=related:JEV6kkGdeeIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"708",708,"10.1177/01461672221121381","The Multiple-Matching Perspective on Value Versus Identity: Investigating How Political Ideology and Party Identity Contribute to Citizens' Support for Political …","the multiplematching perspective on value versus i",6,"H Bai",2020,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221121381","https://scholar.google.com/scholar?cites=6119229440633495505&as_sdt=2005&sciodt=0,5&hl=en",106,FALSE,NA,6,2,6,1,3,"Past studies on how political value (ie, ideology) and identity (ie, party identity) predict support for candidates often fail to consider both the perspectives of citizens and candidates …",NA,"https://scholar.google.com/scholar?q=related:0V8SVMHe61QJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"709",709,"10.1177/01461672221121508","Growing together through our cultural differences: self-expansion in intercultural romantic relationships","growing together through our cultural differences ",5,"AL West, H Naeimi, AA Di Bartolomeo…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221121508","https://scholar.google.com/scholar?cites=13629430506981290512&as_sdt=2005&sciodt=0,5&hl=en",19,FALSE,NA,5,5,1,4,1,"Intercultural romantic relationships are increasingly common and although the obstacles such couples face are well documented, the factors that facilitate their success are less …","https://www.amymuise.com/s/West-e-al-2022-self-expansion-intercultural.pdf","https://scholar.google.com/scholar?q=related:EPJ9k9V2Jb0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"710",710,"10.1177/01461672221122515","Feeling appreciated predicts prosocial motivation in avoidantly attached individuals","feeling appreciated predicts prosocial motivation ",2,"KM Schrage, BM Le, JE Stellar…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221122515","https://scholar.google.com/scholar?cites=1607160872181606875&as_sdt=2005&sciodt=0,5&hl=en",44,FALSE,NA,2,2,1,4,1,"Prosocial motivation is an important ingredient for satisfying relationships. However, individuals high in attachment avoidance—those who fear closeness and prefer …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221122515","https://scholar.google.com/scholar?q=related:26lKU0zITRYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"711",711,"10.1177/01461672221123776","Collectivism impairs team performance when relational goals conflict with group goals","collectivism impairs team performance when relatio",4,"X Qin, K Chi Yam, W Ye, J Zhang…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221123776","https://scholar.google.com/scholar?cites=16624832957728196799&as_sdt=2005&sciodt=0,5&hl=en",56,FALSE,NA,4,4,1,5,1,"This research challenges the idea that teams from more collectivistic cultures tend to perform better. We propose that in contexts in which there are tradeoffs between group goals (ie …","https://www.krishnasavani.com/wordpress/wp-content/uploads/2022/09/Qin_Savani_et_al_2022.pdf","https://scholar.google.com/scholar?q=related:v4iYL35Ft-YJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"712",712,"10.1177/01461672221123859","Mechanisms Linking Attachment Orientation to Sleep Quality in Married Couples","mechanisms linking attachment orientation to sleep",3,"Y Xie, BN Chin, BC Feeney",2022,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221123859","https://scholar.google.com/scholar?cites=6936048983371197765&as_sdt=2005&sciodt=0,5&hl=en",115,FALSE,NA,3,3,1,3,1,"There is emerging evidence for links between relationship factors and sleep quality. Existing research linking attachment orientation to sleep quality has yielded inconsistent effects, has …","https://www.researchgate.net/profile/Yuxi-Xie-8/publication/363847804_Mechanisms_Linking_Attachment_Orientation_to_Sleep_Quality_in_Married_Couples/links/6357437112cbac6a3ef30ef1/Mechanisms-Linking-Attachment-Orientation-to-Sleep-Quality-in-Married-Couples.pdf","https://scholar.google.com/scholar?q=related:Ra2MNs3LQWAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"713",713,"10.1177/01461672221124674","Three fish at one hook? Future-oriented, reconciliatory, and defensive claims for historical closure as expressions of the same defensive desire","three fish at one hook futureoriented reconciliato",3,"F Kazarovytska, R Imhoff",2022,"… and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221124674","https://scholar.google.com/scholar?cites=18044446315615866462&as_sdt=2005&sciodt=0,5&hl=en",31,FALSE,NA,3,3,2,2,1,"Historical perpetrator groups seek to shield themselves from image threat by advocating for closing the discussion of their crimes. However, from a broader theoretical perspective, such …","https://psyarxiv.com/kt59b/download/?format=pdf","https://scholar.google.com/scholar?q=related:Xs7jClLAavoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"714",714,"10.1177/01461672221125599","A lower-class advantage in face memory","a lowerclass advantage in face memory",4,"P Dietze, S Olderbak, A Hildebrandt…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221125599","https://scholar.google.com/scholar?cites=17137467954490174229&as_sdt=2005&sciodt=0,5&hl=en",22,FALSE,NA,4,4,1,4,1,"People remember what they deem important. In line with research suggesting that lower-class (vs. higher class) individuals spontaneously appraise other people as more relevant …","https://journals.sagepub.com/doi/pdf/10.1177/01461672221125599","https://scholar.google.com/scholar?q=related:FesGcU6E1O0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"715",715,"10.1177/01461672221125619","The equality paradox: Gender equality intensifies male advantages in adolescent subjective well-being","the equality paradox gender equality intensifies m",6,"J Guo, G Basarkod, F Perales…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221125619","https://scholar.google.com/scholar?cites=528637279180247631&as_sdt=2005&sciodt=0,5&hl=en",13,FALSE,NA,6,6,2,4,1,"Individuals' subjective well-being (SWB) is an important marker of development and social progress. As psychological health issues often begin during adolescence, understanding …","https://josephciarrochi.com/wp-content/uploads/2022/10/Guo-et-al.-2022-The-Equality-Paradox-Gender-Equality-Intensifies-40.pdf","https://scholar.google.com/scholar?q=related:T1KR-M0YVgcJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"716",716,"10.1177/01461672221127759","A Meta-Analytic Review of the Validity of the Tangram Help/Hurt Task","a metaanalytic review of the validity of the tangr",0,"SL Kjærvik, M Saleem, G Velasquez…",2022,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221127759",NA,118,FALSE,NA,0,0,0,4,1,"The Tangram Help/Hurt Task (THHT) allows participants to help another participant win a prize (by assigning them easy tangrams), to hurt another participant by preventing them from …",NA,"https://scholar.google.com/scholar?q=related:UOprV5iQT00J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"717",717,"10.1177/01461672221127799","A phenomenological divide: Reference group consequences for existential isolation","a phenomenological divide reference group conseque",1,"PJ Helm, T Jimenez, S Carter…",2022,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221127799","https://scholar.google.com/scholar?cites=17422164636908019811&as_sdt=2005&sciodt=0,5&hl=en",85,FALSE,NA,1,1,0,4,1,"An apparent phenomenological divide between majority and minoritized groups exists in contemporary America in terms of feelings of social connection. Drawing on recent findings …","https://scholarworks.montana.edu/xmlui/bitstream/handle/1/17618/helm-isolation-2022.pdf?sequence=3&isAllowed=y","https://scholar.google.com/scholar?q=related:Y2BGQW72x_EJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
"718",718,"10.1177/01461672221127802","Connected or Cutoff? A 4-Year Longitudinal Study of the Links Between Adolescents' Compulsive Internet Use and Social Support","connected or cutoff a 4year longitudinal study of ",3,"JN Donald, J Ciarrochi, J Guo",2022,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/01461672221127802","https://scholar.google.com/scholar?cites=16559594793989472168&as_sdt=2005&sciodt=0,5&hl=en",68,FALSE,NA,3,3,1,3,1,"As the online world plays an increasing role in young peoples' lives, research on compulsive internet use (CIU) is receiving growing attention. Given the social richness of the online …","https://josephciarrochi.com/wp-content/uploads/2022/12/Connected-or-Cutoff_-A-4-Year-Longitudinal-Study-of-the-Links-Between-Adolescents-Compulsive-Internet-Use-and-Social-Support.pdf","https://scholar.google.com/scholar?q=related:qH8miLp_z-UJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
